Fi	ne,Dig	ital & Perf	Arts												
															
O		ARTS1104	02	Creative Process	3.00	Raiser	--T-R--	8:00- 9:15AM	CFA	304	12		15	0	ART1
															
O		ARTS1104	03	Creative Process	3.00	Raiser	--T-R--	11:00-12:15PM	CFA	304	12		15	0	ART1
															
O		ARTS1105	02	Digital Foundations	3.00	Schwarten	-M-W---	3:30- 4:45PM	CFA	306	12		16	0	ART3
															
O		ARTS1105	52	Digital Foundations	3.00	Hinton	---W---	5:00- 7:30PM	CFA	206	8		16	0	ART3
															
O		ARTS2211	01	Drawing 1	3.00	Stettner	--T-R--	11:00-12:15PM	CFA	303	12		18	0	ART2
															
O		ARTS2212	01	Drawing 2	3.00	McCane	-M-W---	2:00- 3:15PM	CFA	305	20		20	0	ART2
															
O		ARTS2221	01	Life Drawing 1	3.00	Azimova	-M-W---	12:00- 1:15PM	CFA	303	12		18	0	ART2
															
O		ARTS2222	01	Life Drawing 2	3.00	Reynolds	-M-W---	3:30- 4:45PM	CFA	303	12		10	0	ART2
															
O		ARTS2311	01	Painting 1	3.00	Stead	--T-R--	11:00-12:15PM	CFA	302	15		10	0	ART2
															
O		ARTS2312	01	Painting 2	3.00	Reynolds	-M-W---	2:00- 3:15PM	CFA	302	15		5	0	ART2
															
O		ARTS2411	02	Ceramics 1	3.00	Bowen	--T-R--	9:30-10:45AM	CFA	107	20		15	0	ART2
															
O		ARTS2411	03	Ceramics 1	3.00	Bowen	--T-R--	11:00-12:15PM	CFA	107	20		15	0	ART2
															
O		ARTS2411	05	Ceramics 1	3.00	Meadows	-M-W---	12:00- 1:15PM	CFA	107	20		15	0	ART2
															
O		ARTS2412	01	Ceramics 2	3.00	Meadows	-M-W---	2:00- 3:15PM	CFA	107	20		8	0	ART2
															
O		ARTS2441	01	Sculpture 1	3.00	Bowen	--T-R--	9:30-10:45AM	CFA	107	20		5	0	ART2
															
O		ARTS2511	01	Photography 1	3.00	Daniel	-M-W---	10:00-11:15AM	CFA	118	20		15	0	ART2
															
O		ARTS2511	02	Photography 1	3.00	Daniel	-M-W---	12:00- 1:15PM	CFA	118	20		15	0	ART2
															
O		ARTS2613	51	Typography	3.00	Bennett	--T-R--	9:30-10:45AM	CFA	206	8		16	0	ART2
															
O		ARTS3212	01	Intermediate Drawing 2	3.00	Stettner	--T-R--	9:30-10:45AM	CFA	303	12		3	0	ART2
															
O		ARTS3221	01	Intermediate Life Drawing 1	3.00	Reynolds	-M-W---	3:30- 4:45PM	CFA	303	12		2	0	ART2
															
O		ARTS3222	01	Intermediate Life Drawing 2	3.00	Reynolds	-M-W---	3:30- 4:45PM	CFA	303	12		2	0	ART2
															
O		ARTS3311	01	Intermediate Painting 1	3.00	Reynolds	-M-W---	2:00- 3:15PM	CFA	302	15		4	0	ART2
															
O		ARTS3312	01	Intermediate Painting 2	3.00	Reynolds	-M-W---	2:00- 3:15PM	CFA	302	15		2	0	ART2
															
O		ARTS3331	01	Watercolor 1	3.00	Raiser	--T-R--	12:30- 1:45PM	CFA	304	12		20	0	ART2
															
O		ARTS3332	01	Watercolor 2	3.00	Raiser	--T-R--	12:30- 1:45PM	CFA	304	12		20	0	ART2
															
O		ARTS3411	01	Intermediate Ceramics 1	3.00	Meadows	-M-W---	12:00- 1:15PM	CFA	107	20		20	0	ART2
															
O		ARTS3412	01	Intermediate Ceramics 2	3.00	Meadows	-M-W---	2:00- 3:15PM	CFA	107	20		6	0	ART2
															
O		ARTS3611	01	Digital Imaging 1	3.00	Davis	-M-W---	12:30- 1:45PM	CFA	205	16		16	0	ART3
															
O		ARTS3611	02	Digital Imaging 1	3.00	LeCouffe	--T-R--	3:30- 4:45PM	CFA	205	16		16	0	ART3
															
O		ARTS3612	01	Digital Illustration 1	3.00	Bennett	--T-R--	12:30- 1:45PM	CFA	306	12		16	0	ART3
															
O		ARTS3613	01	Digital Publishing 1	3.00	Davis	-M-W---	2:00- 3:15PM	CFA	205	16		11	0	ART3
															
O		ARTS3621	51	Digital Paint 1	3.00	LeCouffe	--T-R--	5:00- 6:15PM	CFA	206	8		16	0	ART3
															
O		ARTS3631	01	Visualist Studio 1	3.00	Davis	--T-R--	12:30- 1:45PM	CFA	205	16		16	0	ART3
															
O		ARTS3632	01	Visualist Studio 2	3.00	Davis	--T-R--	2:00- 3:15PM	CFA	205	16		16	0	ART3
															
O		ARTS3641	01	Interactive Foundations	3.00	Cram	--T-R--	11:00-12:15PM	CFA	206	8		10	0	ART3
															
O		ARTS4180	51	Senior Studio 1	3.00	Cram	--T-R--	3:30- 4:45PM	CFA	206	8		8	0	ART2
															
O		ARTS4181	51	Senior Studio 2	3.00	Cram	--T-R--	3:30- 4:45PM	CFA	206	8		8	0	ART2
															
O		ARTS4212	01	Advanced Drawing 2	3.00	Stettner	--T-R--	9:30-10:45AM	CFA	303	12		3	0	ART2
															
O		ARTS4221	01	Advanced Life Drawing 1	3.00	Reynolds	-M-W---	3:30- 4:45PM	CFA	303	12		2	0	ART2
															
O		ARTS4331	01	Advanced Watercolor 1	3.00	Raiser	--T-R--	12:30- 1:45PM	CFA	304	12		20	0	ART2
															
O		ARTS4511	01	Advanced Photography 1	3.00	Daniel	-M-W---	2:00- 3:15PM	CFA	206	8		16	0	ART2
															
O		ARTS4521	01	Advanced Photography 1 Studio	3.00	Daniel	-M-W---	3:30- 4:45PM	CFA	206	8		16	0	ART2
															
O		ARTS4613	01	Digital Publishing 2	3.00	Davis	-M-W---	2:00- 3:15PM	CFA	205	16		6	0	ART3
															
O		ARTS4631	51	Visualist Studio 3	3.00	Cram	--T-R--	2:00- 3:15PM	CFA	206	8		8	0	ART3
															
O		ARTS4632	51	Visualist Studio 4	3.00	Cram	--T-R--	2:00- 3:15PM	CFA	206	8		8	0	ART3
															
O		ARTS4999	01	Tps: Visualist	3.00	Cram	-------	TBA			0		20	0	ART2
															
O		ARTS4999	05	Tps: Painting and Drawing	3.00	Raiser	-------	TBA			0		20	0	ART2
															
O		DANC1111	01	Ballet Technique 1	3.00	Logan, S	---W-F-	11:00-12:15PM	CFA	319	100		15	0	ART1
															
O		DANC1212	01	Jazz Dance I	3.00	Rase	--T-R--	9:30-10:45AM	CFA	319	100		15	0	ART1
															
O		MUSI1111	02	Music Theory 1	3.00	Barnhart	-M-W-F-	1:00- 1:50PM	CFA	130	30		20	0	
															
O		MUSI1201	02	Music Appreciation	3.00	Barnhart	-M-W-F-	11:00-11:50AM	CFA	130	30		30	0	
															
O		MUSI1201	03	Music Appreciation	3.00	Workman	--T-R--	12:30- 1:45PM	CFA	130	30		30	0	
															
O		MUSI1311	01	University Choir	1.00	Workman	-M-W---	2:00- 3:50PM	CFA	319	100		30	0	ART1
															
O		MUSI1341	01	Shawnee Chorale	1.00	Workman	--T-R--	3:00- 4:50PM	CFA	319	100		20	0	ART1
															
O		MUSI1351	53	Instrumental Ensemble	1.00	Auer, L	-M-----	6:30- 7:20PM	CFA	319	100		25	0	ART1
															
O		MUSI1421	02	Beginning Piano	1.00	Beery	---W---	2:00- 2:50PM	CFA	138	20		10	0	ART1
															
O		MUSI1421	03	Beginning Piano	1.00	Beery	---W---	9:00- 9:50AM	CFA	138	20		10	0	ART1
															
O		MUSI1421	04	Beginning Piano	1.00	Beery	-M-----	4:00- 4:50PM	CFA	138	20		10	0	ART1
															
O		MUSI1422	01	Intermediate Piano	1.00	Beery	-----F-	9:00- 9:50AM	CFA	138	20		10	0	ART1
															
O		MUSI1431	51	Beginning Guitar	1.00	Parsley	-M-----	5:00- 5:50PM	CFA	304	12		10	0	
															
O		MUSI1431	52	Beginning Guitar	1.00	Parsley	---W---	5:00- 5:50PM	CFA	217	20		10	0	
															
O		MUSI1432	51	Intermediate Guitar	1.00	Parsley	--T----	5:00- 5:50PM	CFA	217	20		8	0	
															
O		MUSI2212	01	Music History 2	3.00	Workman	--T-R--	11:00-12:15PM	CFA	130	30		25	0	
															
O		MUSI2999	02	Tps: Laptop Orchestra	2.00	Barnhart	--T----	4:00- 4:50PM	CFA	130	30		15	0	
															
						Barnhart	----R--	4:00- 4:50PM	CFA	130	30				
															
O		MUSI3411	01	Applied Voice	1.00	Crothers	-------	TBA			0		10	0	ART1
															
O		MUSI3411	02	Applied Voice	1.00	Workman	-------	TBA			0		10	0	ART1
															
